distance_m,maxSpeed_km_per_h,trafficSpeed_km_per_h,baseSpeed_km_per_h,road,road_number,actions,road_type
2267,32.00000148,35.00000028,35.00000028,Kensington Road,A315,,Local
2313,32.00000148,36.0,36.99999972,Kensington Road,A315,,Local
2359,32.00000148,36.99999972,36.99999972,Kensington Road,A315,,Local
2368,32.00000148,35.00000028,35.00000028,Kensington Road,A315,,Local
2425,32.00000148,32.00000148,30.000002400000003,Kensington Road,A315,,Local
2447,32.00000148,38.00000268,38.00000268,Kensington Road,A315,,Local
2497,32.00000148,38.00000268,39.00000240000001,Kensington Road,A315,,Local
2526,32.00000148,36.99999972,36.99999972,Kensington Road,A315,,Local
2540,32.00000148,35.00000028,36.0,Kensington Road,A315,,Local
2609,32.00000148,25.00000092,27.0,Kensington Road,A315,,Local
2656,32.00000148,21.0000006,21.0000006,Kensington Road,A315,,Local
2687,32.00000148,22.00000032,22.00000032,Kensington Road,A315,,Local
2729,32.00000148,19.00000116,19.00000116,Kensington Road,A315,,Local
2762,32.00000148,22.999999680000002,24.000001200000003,Kensington Road,A315,,Local
2801,32.00000148,28.999999080000002,28.999999080000002,Kensington Road,A315,,Local
2832,32.00000148,32.00000148,32.00000148,Kensington Road,A315,,Local
2869,32.00000148,34.00000092,34.00000092,Kensington Road,A315,,Local
2884,32.00000148,33.0000012,33.0000012,Kensington Road,A315,,Local
2894,32.00000148,35.00000028,35.00000028,Kensington Road,A315,,Local
2905,32.00000148,34.00000092,34.00000092,Kensington Road,A315,,Local
2948,32.00000148,36.0,35.00000028,Kensington Road,A315,,Local
2964,32.00000148,31.000001759999996,30.000002400000003,Kensington Road,A315,,Local
2993,32.00000148,32.00000148,32.00000148,Kensington Road,A315,,Local
3004,32.00000148,34.00000092,34.00000092,Kensington Road,A315,,Local
3059,32.00000148,35.00000028,35.00000028,Kensington Road,A315,,Local
3067,32.00000148,34.00000092,34.00000092,Kensington Road,A315,,Local
3112,32.00000148,32.00000148,33.0000012,Kensington Road,A315,,Local
3153,32.00000148,26.000000280000002,26.000000280000002,Kensington Road,A315,,Local
3178,32.00000148,18.0,20.000000879999998,Kensington Road,A315,,Local
3231,32.00000148,18.0,20.000000879999998,Kensington Road,A315,turn (left),Local
3232,32.00000148,26.000000280000002,27.0,North End Road,B317,,Access
3294,32.00000148,33.0000012,35.00000028,North End Road,B317,,Access
3375,32.00000148,35.00000028,36.0,North End Road,B317,,Access
3428,32.00000148,34.00000092,35.00000028,North End Road,B317,,Access
3443,32.00000148,36.0,36.0,North End Road,B317,,Access
3469,32.00000148,36.0,38.00000268,North End Road,B317,,Access
3532,32.00000148,36.0,36.99999972,North End Road,B317,,Access
3571,32.00000148,35.00000028,36.0,North End Road,B317,,Access
3591,32.00000148,34.00000092,36.0,North End Road,B317,,Access
3627,32.00000148,32.00000148,34.00000092,North End Road,B317,,Access
3643,32.00000148,30.000002400000003,30.000002400000003,North End Road,B317,,Access
3672,32.00000148,28.999999080000002,28.999999080000002,North End Road,B317,,Access
3744,32.00000148,14.00000076,14.00000076,North End Road,B317,,Access
3804,32.00000148,14.00000076,14.00000076,North End Road,B317,continue,Access
3805,32.00000148,21.0000006,21.0000006,North End Road,B317,,Access
3819,32.00000148,20.000000879999998,22.999999680000002,North End Road,B317,,Access
3856,32.00000148,22.00000032,24.000001200000003,North End Road,B317,,Access
3875,32.00000148,25.00000092,25.00000092,North End Road,B317,,Access
3882,32.00000148,27.0,27.0,North End Road,B317,,Access
3893,32.00000148,28.00000116,28.00000116,North End Road,B317,,Access
3920,32.00000148,28.00000116,28.999999080000002,North End Road,B317,,Access
3954,32.00000148,32.00000148,32.00000148,North End Road,B317,,Access
3965,32.00000148,34.00000092,34.00000092,North End Road,B317,,Access
4004,32.00000148,33.0000012,33.0000012,North End Road,B317,,Access
4078,32.00000148,33.0000012,33.0000012,North End Road,B317,arrive,Access
4079,,,,,,,Local
